InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,3,162282.30901033455
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,4,161460.23915045612
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,5,162892.87211403088
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,6,163203.07572334536
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,7,162932.85162622505
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,8,160325.37205284962
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,9,154753.73120659715
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,10,149995.91957517606
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,1,287888.19652621663
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,2,151589.58540770877
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,3,151294.4899337786
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,4,151119.76755965443
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,5,138814.3345421582
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,6,146657.42476908313
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,7,151476.26539116364
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,8,150956.89613531082
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,9,143995.98081096174
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,10,147741.12015422847
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,1,138024.45408575618
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,2,151567.9687855654
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,3,136819.13697605213
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,4,151712.75371504526
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,5,152223.24577704864
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,6,151328.18930945228
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,7,178267.0757324172
