InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,2,inst/inst2020,true,100.72300229032187,16.127888407045294,377.07454007719264,141015.11180223306,72735.98886945755,188114.72208191405,0.8569312516464858,0.001097184859017185,2.5688868260005107,16.192839860916138,10.59
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,3,inst/inst2020,true,1096.349411854777,49.34403507026703,2448.607489570917,165011.23472861142,1225.545014271468,1.344379595187464e8,0.7382325610868692,0.026451051631368155,1.6808984248616794,16.192839860916138,10.59
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,4,inst/inst2020,true,1140.4915368878958,53.344035070267026,2725.9411047436474,161906.1206442701,2997.3574006797717,1.3190421248439647e8,0.7452315333776155,0.005308372239181667,1.9113843700293762,16.192839860916138,10.59
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,mixed,5,1.0,1.0,SA,5,inst/inst2020,true,167.037723877187,16.127888407045297,767.7479158185879,133364.22646482932,84684.08097286815,177270.00709538092,0.7502239200342138,0.0023530786365040086,1.9980887250637769,16.192839860916138,10.59
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,1,inst/inst2020,true,65.03539794533613,17.287971412937637,110.91335224939886,128597.90069234384,117159.36834029268,137122.44203216463,0.05530252896456932,0.00029161315523511516,0.190830226025016,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,2,inst/inst2020,true,85.2396342045338,0.0,292.7844311786749,134704.47222103947,86669.19900683909,158804.149378571,0.07853091763034004,8.832710608683266e-5,0.2687462920843981,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,3,inst/inst2020,true,78.2537002124421,29.35377206818663,148.20903254278457,135187.56081986876,124091.12334645851,145301.9730297651,0.05507947086002004,1.6353390983411104e-5,0.18180043963494,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,4,inst/inst2020,true,86.95075613505841,0.0,373.73179561488,134426.63255149967,79263.57629512886,160314.74500860277,0.09047948216652664,4.378762170678425e-5,0.3877557210433665,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,5,inst/inst2020,true,83.33643227108904,0.0,218.46814314231216,132326.56930441695,104399.22095283019,157037.019395646,0.08555898896148563,0.0001970261000409264,0.22927031808862738,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,6,inst/inst2020,true,84.46500376201624,0.0,348.2797730971503,135417.78566626168,80745.88223353318,160714.02735137325,0.09774374314738929,0.00023726090490710169,0.3612932145563431,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,7,inst/inst2020,true,482.52597616714473,0.0,1227.2131701487874,130215.61598654611,99276.77912509635,154448.16542512222,0.06150769871474402,0.00010350520277299243,0.23912413140389635,36.00236511230469,16.92
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,mixed,10,1.0,1.0,SA,8,inst/inst2020,true,416.71536635062427,0.0,1238.5119083638651,129529.65267515475,92065.7394174627,156467.61952600532,0.05918409511113615,0.0001906234465714346,0.21331919166497829,36.00236511230469,16.92
